ID	Problem	Complexity
1	Simple problem	47103 / 52624
2	Digits	26791 / 34179
3	Match’s model	3419 / 16090
4	Two circles	8264 / 13396
5	Two factors	2063 / 5560
6	The vouchers	1289 / 2040
7	Roman numerals	2889 / 4118
8	Matches	4380 / 6512
9	N-digit numbers	3142 / 4714
10	Gardener	3000 / 4111
11	Big accuracy	3781 / 6149
12	Injured Picture	803 / 1244
13	Spider and Fly	1528 / 2779
14	Rabbit-failure	1667 / 2234
15	Mouse and corns	3807 / 5039
16	Dragon	1648 / 2623
17	Gardener-painter	3690 / 4761
18	Paint2D	730 / 1527
19	Degree of symmetry	6999 / 8291
20	How many times to repeat?	5145 / 7683
21	Corruption	131 / 1653
22	"Mirror prime" numbers	2728 / 4870
23	New-year tree	796 / 1781
24	Paint2D-Crack	39 / 281
25	Paint3D	557 / 838
26	New-year presents	1181 / 1610
27	Cycle shifts	4224 / 5139
28	Product	598 / 1419
29	The level of  palindrome	2155 / 3004
30	Certification	101 / 246
31	Superstitious Santa Claus	1186 / 1408
32	Queen and pawn	156 / 450
33	The favourite numbers of Santa Claus	1689 / 2591
34	The word of sponsor	1278 / 1641
35	Triangles from Matches	633 / 1624
36	Gorynych the Dragon	1211 / 1732
37	Mail of the sponsor	937 / 1173
38	Firs conversation	93 / 220
39	Sponsor’s money	410 / 579
40	Pipeline (RU)	247 / 445
41	Command of the Mayor	418 / 632
42	Green spot	98 / 262
43	Competitors’ quantity of olimpia	2731 / 3751
44	The number of ones	2334 / 3438
45	The Fuel	144 / 208
46	The Segments	1267 / 1640
47	The Parquet of the Triangles	607 / 797
48	The Red and Blue Squares	409 / 601
49	The Smart Cat	695 / 1058
50	The cut number	364 / 524
51	The Cost of the K-dominoes	813 / 945
52	The Cheese for Anfisa	806 / 1009
53	Anfisa’s Holiday	92 / 188
54	Murzyk	466 / 1242
55	The presents to the 8th of March	709 / 1139
56	The Butterflies	35 / 171
57	The Butterfly – Medical Attendan	3595 / 4003
58	The Billiards	1040 / 1399
59	The Cells are Painted out	62 / 134
60	Area of a Polygon	2530 / 3235
61	Cleaning up the Snow	348 / 448
62	The Factorial	1876 / 3637
63	Anfisa and the flowers	6363 / 7566
64	The Timetable from "Diez-Product"	159 / 216
65	The Candies	126 / 535
66	The Directors’ Visitors	1385 / 1723
67	Cheese for Anfisa - 2	3713 / 4170
68	Metro	122 / 174
69	Vinnis’ Friends	327 / 379
70	Industrious bees	346 / 397
71	The Expression from the Numbers	159 / 225
72	The Way Home	526 / 636
73	Phibonachies’ Numbers	482 / 610
74	Spider and Fly - 2	86 / 377
75	Pirates and coins	5817 / 6462
76	New case	5027 / 6510
77	The Garland	712 / 958
78	Islands	91 / 191
79	The Genome of Newton	42 / 128
80	Discounts	627 / 782
81	Points	44 / 118
82	Catacombs	22 / 64
83	Gnome’s toys	884 / 1054
84	Transfer	37 / 62
85	Spiral	2246 / 2555
86	Waterpipe - 2	355 / 449
87	Robot	3541 / 4298
88	LeChuck’s Revenge	69 / 110
89	Cube Painting	719 / 799
90	Gold, Food and Power	27 / 59
91	A Piece of Paper	2 / 31
92	Subprojects	1161 / 1297
93	Truck Driving	60 / 104
94	Primes’ Problem	40 / 67
95	No More Hapalies!	324 / 435
96	Automat	7 / 28
97	Bell numbers	67 / 82
99	Lines	8 / 34
100	Pareto domination	7 / 68
101	Permutations with given distance	9 / 25
102	Polyhedron	3 / 16
103	Process simulation	10 / 27
104	Rope pulling – 2	2 / 21
105	Sets in a four-partite graph	1 / 12
106	Tokens	2 / 29
107	Compact discs	3966 / 5925
108	Median number	13399 / 15793
109	Page numbering	3252 / 4495
110	Game	1211 / 1952
111	Clocks	1404 / 2119
112	Cake	4213 / 5417
113	Balloons	3082 / 3604
114	Prison escape	101 / 496
115	Two digits	5297 / 6270
116	Long number (RU)	621 / 1092
117	Raft	1092 / 1354
118	Game - 2 (RU)	276 / 449
119	Degree of two	1778 / 2367
120	N-unit numbers - 2	310 / 510
121	CD-stock exchange	93 / 131
122	Mountain routes	1265 / 1528
123	Number of zeroes in factorial	2704 / 3616
124	Square	2705 / 4448
125	Olympiad	7014 / 8522
126	Number of an apartment	2427 / 3078
127	Dollars in bank	2346 / 3190
128	Lucky tickets	4061 / 4618
129	Sections in a circle (RU)	1202 / 1690
130	Rectangle	1298 / 2307
131	Words	783 / 1022
132	Broken line (RU)	82 / 249
133	Square and points (RU)	5980 / 6651
134	Two circle - 2 (RU)	594 / 701
135	LCM	1208 / 3460
136	The Segment	2268 / 2957
137	GCD	6145 / 6990
138	Cash machine	6387 / 7406
139	Population of robots (RU)	274 / 525
140	Financial pyramid (RU)	833 / 1093
141	The minimal sum of digits	2165 / 2622
142	Point and piece (RU)	1652 / 2202
143	Point and triangle	2861 / 3655
144	Quadrilateral	2296 / 2854
145	Squares	1874 / 2195
146	Squares - 2	1093 / 1265
147	Quantity of days (RU)	363 / 781
148	Economic game "P&T" (RU)	144 / 272
149	Factorial - 2	828 / 1603
150	Polygonal chain - 2	30 / 129
151	Polygon	343 / 443
152	New-year presents - 2	133 / 245
153	Two rectangulars (RU)	299 / 532
154	Pieces - 2	50 / 126
155	The scientific project	55 / 99
156	Two-dimensional domino (RU)	25 / 51
157	Zoo	3782 / 4204
158	New number Fibonacci (RU)	333 / 681
159	Festival (RU)	46 / 67
160	Dancing school (RU)	108 / 177
161	Robots (RU)	58 / 105
162	Unhappy numbers (RU)	2 / 27
163	Happy figures (RU)	31 / 111
164	Postcards (RU)	2 / 20
165	Symmetry (RU)	380 / 459
166	Streetraicing (RU)	8 / 23
167	Progressions (RU)	46 / 120
168	Lomonosov our days (RU)	77 / 206
169	Skyscrapers (RU)	6 / 11
170	Bag of fake money	19 / 195
171	Traffic jams (RU)	5 / 19
172	Swapping of data (RU)	8 / 49
173	Syntax UML (RU)	6 / 30
174	Cities - competitors (RU)	35 / 55
175	Traffic lights (RU)	8 / 22
176	Chieftain selection (RU)	1881 / 2305
177	Poker (RU)	447 / 506
178	Each third is free (RU)	567 / 727
179	Redistribution (RU)	609 / 710
180	Graveyard (RU)	41 / 72
181	Food program (RU)	12 / 71
182	Conscription	660 / 974
183	Relatives (RU)	86 / 123
184	Parcelling (RU)	5 / 14
185	Orks of the future	206 / 342
186	Egyptian symbols	552 / 741
187	Minibuses (RU)	47 / 87
188	Colored Wizards	85 / 107
189	Bonding (RU)	3 / 19
190	Roads in the Kingdom (RU)	10 / 52
191	Uniform flow (RU)	3 / 69
192	Just Fibonacci (RU)	1532 / 2121
193	The sum of figures (RU)	436 / 641
194	Product of figures (RU)	338 / 480
195	Degree (RU)	28 / 232
196	Simple game (RU)	53 / 103
197	Piece and circles (RU)	323 / 410
198	Green plantings (RU)	42 / 85
199	Coloring Rectangles (RU)	8 / 25
200	Quadrilateral - 2	649 / 1033
201	Circles - 2 (RU)	1019 / 1448
202	Cubes (RU)	185 / 255
203	Cubes - 2 (RU)	273 / 314
204	Inflation rate (RU)	10 / 68
205	The first is not a palindrome (RU)	151 / 248
206	Tourist	4667 / 6029
207	Traffic lights - 2 (RU)	10 / 16
208	Macros (RU)	3 / 8
209	Copy Protection (RU)	51 / 79
210	Names of poems (RU)	2 / 15
211	Mushroom hunting (RU)	11 / 40
212	Fence Kopatycha (RU)	9 / 31
213	Bring hamsters (RU)	4 / 13
214	Hamsters on a torus (RU)	4 / 6
215	Compote harvesting (RU)	186 / 210
216	Treasure hunt (RU)	0 / 16
217	Big secret (RU)	25 / 35
218	Shaman	15 / 31
219	Central heating	5327 / 6286
220	Liars (RU)	263 / 343
221	Mountaineering (RU)	72 / 123
222	Tanglegram (RU)	16 / 44
223	Evolution (RU)	594 / 770
224	The dealer (RU)	47 / 70
225	Circles	88 / 194
226	Olympiad and Internet (RU)	842 / 1328
227	Venusian programmers	1 / 8
228	Crocodile Hunting – 2	6 / 23
229	Boundaries	12 / 20
230	Brackets parade	135 / 185
231	Adventures	0 / 10
232	Lazy visitor	0 / 13
233	The Neighbor	3 / 10
234	Mafia	57 / 92
235	Spring Time	89 / 120
236	Triomino	354 / 539
237	Immovable Elements of a Matrix	42 / 105
238	Wolves	33 / 50
239	Triangles	101 / 190
240	Similarity (RU)	26 / 72
241	Bog (RU)	8 / 24
242	Prime Number (RU)	98 / 159
243	Polygon (RU)	6 / 16
244	The cross-country vehicle (RU)	3 / 9
245	The best approximation of pi (RU)	221 / 285
246	Pyramid	73 / 168
247	Unhappy bus	1039 / 1181
248	Young gardener	11923 / 12631
249	The Very Hard One	407 / 657
250	Robots and Oil Transportation Sy	16 / 34
251	Symmetry 2	5 / 39
252	The Shortest does not Mean the S	240 / 583
253	Watermelon Fields Wonderland Countries Fools	10 / 34
254	Martian King	22 / 30
255	License Software	2011 / 2559
256	Chain fraction (RU)	135 / 172
257	Gambling	153 / 216
258	A box of chocolate	30 / 54
259	Genetic Engineering	186 / 250
260	Pumpkin porridge	1313 / 1468
261	An aliquot fraction (RU)	7 / 25
262	The staircase	1859 / 2409
263	Three ones	3853 / 4364
264	The greatest sequence multiple subsequence	426 / 587
265	Vertex Cover	1535 / 2401
266	Comparison	2747 / 3748
267	Subtraction	2312 / 3200
268	Star Routes	88 / 112
269	Four Circles	217 / 257
270	CheckSum	27 / 48
271	Factorial!	2766 / 4272
272	Multiplication	2111 / 3025
273	Modular Exponentiation	4149 / 5326
274	Type printer	26 / 52
275	Islands	5 / 22
276	Fish	4 / 23
277	Linear Garden	13 / 20
278	Piramid base	1 / 22
279	Teleporters	9 / 26
280	Cleaning the territory	1706 / 1897
281	Flood	2 / 18
282	Sails	6 / 34
283	Miners	25 / 48
284	Pairs	6 / 14
285	Training	7 / 11
287	Archery	9 / 25
288	Hiring	21 / 27
289	POI	61 / 84
290	Raisins	41 / 57
291	Garage	509 / 590
292	Mecho	196 / 249
294	Salesman	13 / 24
295	Circle	1252 / 1907
296	The painted over sections 2	49 / 170
297	The painted points	217 / 343
298	Green spot  - 2	34 / 75
299	Circle and Points	15 / 45
300	Apocalyptic Alignment	13 / 45
301	Boundless Boxes	11 / 18
302	Cargo Carriage	4 / 11
303	Dreadful Deadlines	32 / 45
304	Earthquake Emendations	6 / 10
305	Folded Fixtures	6 / 12
306	Globulous Gumdrops	8 / 15
307	Honed Hops	4 / 11
308	Knicht and pawn against a Knicht	112 / 156
309	The bishop and pawn against the bishop	21 / 85
310	The letter from Prostokvashino (RU)	37 / 62
311	Maximum quantity of figures	106 / 147
312	ACM	334 / 521
313	A + B (RU)	1691 / 2237
314	A + B ? (RU)	893 / 1208
315	Effects of fishing (RU)	35 / 89
316	The fire inspector (RU)	16 / 105
317	Very rapid multiplication of (RU)	453 / 1317
318	Binomial coefficients 1	560 / 990
319	Binomial coefficients 2	185 / 240
320	Binomial coefficients 3	4 / 13
321	Binomial coefficients 4	32 / 86
322	Binomial coefficients 5	2 / 14
323	Flies (RU)	23 / 53
324	Numbers	314 / 712
325	Dangerous route	401 / 549
326	Mountains (RU)	30 / 78
327	Forecasters (RU)	82 / 146
328	Teleport (RU)	16 / 26
329	Number of words	2696 / 4904
330	Word the champion	705 / 1616
331	The offer the champion	186 / 318
332	The children`s railway	108 / 297
333	The children`s railway - 2 (RU)	45 / 155
334	Divide or pick up? (RU)	132 / 240
335	Game with switches	1229 / 1418
337	Grandfather folded or not folded? (RU)	5 / 25
338	My favorite, irreducible...	593 / 856
339	Again irreducible	949 / 1123
340	Once - peas, two - peas...	313 / 373
341	Influenza AH1N1	7 / 13
342	Dr. House in the morgue	10 / 24
343	Target Ethan Hunt	3 / 7
344	Three Little Pigs	42 / 50
345	Progress artillery	4 / 13
346	Progress in the artillery continues	8 / 16
