ID	Problem
1	Simple problem
2	Digits
3	Match’s model
4	Two circles
5	Two factors
6	The vouchers
7	Roman numerals
8	Matches
9	N-digit numbers
10	Gardener
11	Big accuracy
12	Injured Picture
13	Spider and Fly
14	Rabbit-failure
15	Mouse and corns
16	Dragon
17	Gardener-painter
18	Paint2D
19	Degree of symmetry
20	How many times to repeat?
22	"Mirror prime" numbers
23	New-year tree
24	Paint2D-Crack
25	Paint3D
27	Cycle shifts
28	Product
29	The level of  palindrome
31	Superstitious Santa Claus
33	The favourite numbers of Santa Claus
34	The word of sponsor
35	Triangles from Matches
37	Mail of the sponsor
38	Firs conversation
39	Sponsor’s money
40	Pipeline (RU)
42	Green spot
44	The number of ones
45	The Fuel
46	The Segments
47	The Parquet of the Triangles
48	The Red and Blue Squares
49	The Smart Cat
50	The cut number
51	The Cost of the K-dominoes
52	The Cheese for Anfisa
53	Anfisa’s Holiday
54	Murzyk
55	The presents to the 8th of March
56	The Butterflies
57	The Butterfly – Medical Attendan
58	The Billiards
59	The Cells are Painted out
60	Area of a Polygon
61	Cleaning up the Snow
62	The Factorial
63	Anfisa and the flowers
64	The Timetable from "Diez-Product"
65	The Candies
66	The Directors’ Visitors
67	Cheese for Anfisa - 2
68	Metro
69	Vinnis’ Friends
70	Industrious bees
71	The Expression from the Numbers
72	The Way Home
73	Phibonachies’ Numbers
74	Spider and Fly - 2
75	Pirates and coins
76	New case
77	The Garland
78	Islands
79	The Genome of Newton
80	Discounts
81	Points
82	Catacombs
83	Gnome’s toys
84	Transfer
85	Spiral
86	Waterpipe - 2
87	Robot
88	LeChuck’s Revenge
89	Cube Painting
90	Gold, Food and Power
91	A Piece of Paper
92	Subprojects
93	Truck Driving
94	Primes’ Problem
95	No More Hapalies!
96	Automat
97	Bell numbers
99	Lines
100	Pareto domination
101	Permutations with given distance
102	Polyhedron
103	Process simulation
104	Rope pulling – 2
105	Sets in a four-partite graph
106	Tokens
107	Compact discs
108	Median number
109	Page numbering
110	Game
111	Clocks
112	Cake
113	Balloons
114	Prison escape
115	Two digits
116	Long number (RU)
117	Raft
118	Game - 2 (RU)
119	Degree of two
120	N-unit numbers - 2
121	CD-stock exchange
122	Mountain routes
123	Number of zeroes in factorial
124	Square
125	Olympiad
126	Number of an apartment
127	Dollars in bank
128	Lucky tickets
129	Sections in a circle (RU)
130	Rectangle
132	Broken line (RU)
133	Square and points (RU)
134	Two circle - 2 (RU)
136	The Segment
138	Cash machine
139	Population of robots (RU)
140	Financial pyramid (RU)
142	Point and piece (RU)
143	Point and triangle
144	Quadrilateral
145	Squares
146	Squares - 2
147	Quantity of days (RU)
149	Factorial - 2
150	Polygonal chain - 2
151	Polygon
152	New-year presents - 2
153	Two rectangulars (RU)
154	Pieces - 2
155	The scientific project
156	Two-dimensional domino (RU)
157	Zoo
158	New number Fibonacci (RU)
160	Dancing school (RU)
161	Robots (RU)
162	Unhappy numbers (RU)
163	Happy figures (RU)
164	Postcards (RU)
165	Symmetry (RU)
166	Streetraicing (RU)
167	Progressions (RU)
168	Lomonosov our days (RU)
169	Skyscrapers (RU)
170	Bag of fake money
171	Traffic jams (RU)
172	Swapping of data (RU)
173	Syntax UML (RU)
174	Cities - competitors (RU)
175	Traffic lights (RU)
176	Chieftain selection (RU)
177	Poker (RU)
178	Each third is free (RU)
179	Redistribution (RU)
180	Graveyard (RU)
181	Food program (RU)
182	Conscription
183	Relatives (RU)
184	Parcelling (RU)
185	Orks of the future
186	Egyptian symbols
187	Minibuses (RU)
188	Colored Wizards
189	Bonding (RU)
190	Roads in the Kingdom (RU)
191	Uniform flow (RU)
192	Just Fibonacci (RU)
193	The sum of figures (RU)
194	Product of figures (RU)
195	Degree (RU)
196	Simple game (RU)
197	Piece and circles (RU)
198	Green plantings (RU)
199	Coloring Rectangles (RU)
200	Quadrilateral - 2
201	Circles - 2 (RU)
202	Cubes (RU)
203	Cubes - 2 (RU)
204	Inflation rate (RU)
205	The first is not a palindrome (RU)
206	Tourist
207	Traffic lights - 2 (RU)
208	Macros (RU)
209	Copy Protection (RU)
210	Names of poems (RU)
211	Mushroom hunting (RU)
212	Fence Kopatycha (RU)
213	Bring hamsters (RU)
214	Hamsters on a torus (RU)
215	Compote harvesting (RU)
216	Treasure hunt (RU)
217	Big secret (RU)
218	Shaman
219	Central heating
220	Liars (RU)
221	Mountaineering (RU)
222	Tanglegram (RU)
223	Evolution (RU)
224	The dealer (RU)
225	Circles
226	Olympiad and Internet (RU)
227	Venusian programmers
228	Crocodile Hunting – 2
229	Boundaries
230	Brackets parade
231	Adventures
232	Lazy visitor
233	The Neighbor
234	Mafia
235	Spring Time
236	Triomino
237	Immovable Elements of a Matrix
238	Wolves
239	Triangles
240	Similarity (RU)
241	Bog (RU)
242	Prime Number (RU)
243	Polygon (RU)
244	The cross-country vehicle (RU)
245	The best approximation of pi (RU)
246	Pyramid
247	Unhappy bus
248	Young gardener
249	The Very Hard One
250	Robots and Oil Transportation Sy
251	Symmetry 2
252	The Shortest does not Mean the S
253	Watermelon Fields Wonderland Countries Fools
254	Martian King
255	License Software
256	Chain fraction (RU)
257	Gambling
258	A box of chocolate
259	Genetic Engineering
260	Pumpkin porridge
261	An aliquot fraction (RU)
262	The staircase
263	Three ones
264	The greatest sequence multiple subsequence
265	Vertex Cover
266	Comparison
267	Subtraction
268	Star Routes
269	Four Circles
270	CheckSum
271	Factorial!
272	Multiplication
273	Modular Exponentiation
274	Type printer
275	Islands
276	Fish
277	Linear Garden
278	Piramid base
279	Teleporters
280	Cleaning the territory
281	Flood
282	Sails
283	Miners
284	Pairs
285	Training
287	Archery
288	Hiring
289	POI
290	Raisins
291	Garage
292	Mecho
294	Salesman
295	Circle
296	The painted over sections 2
297	The painted points
298	Green spot  - 2
299	Circle and Points
300	Apocalyptic Alignment
301	Boundless Boxes
302	Cargo Carriage
303	Dreadful Deadlines
304	Earthquake Emendations
305	Folded Fixtures
306	Globulous Gumdrops
307	Honed Hops
308	Knicht and pawn against a Knicht
309	The bishop and pawn against the bishop
310	The letter from Prostokvashino (RU)
311	Maximum quantity of figures
312	ACM
313	A + B (RU)
314	A + B ? (RU)
315	Effects of fishing (RU)
316	The fire inspector (RU)
317	Very rapid multiplication of (RU)
318	Binomial coefficients 1
319	Binomial coefficients 2
320	Binomial coefficients 3
321	Binomial coefficients 4
322	Binomial coefficients 5
323	Flies (RU)
324	Numbers
325	Dangerous route
326	Mountains (RU)
327	Forecasters (RU)
328	Teleport (RU)
329	Number of words
330	Word the champion
331	The offer the champion
332	The children`s railway
333	The children`s railway - 2 (RU)
334	Divide or pick up? (RU)
335	Game with switches
337	Grandfather folded or not folded? (RU)
338	My favorite, irreducible...
339	Again irreducible
340	Once - peas, two - peas...
341	Influenza AH1N1
342	Dr. House in the morgue
343	Target Ethan Hunt
344	Three Little Pigs
345	Progress artillery
346	Progress in the artillery continues
347	Time to lay out the stones
348	Median sequence
349	Economical housewife
350	Ancient labyrinth
351	Cities of the Nile
353	Candies
354	Permutation
355	Railways
356	Launch
357	Maximum Salary
358	Progress in artillery begins
359	Circle and line
360	Chain
361	Interschool network
362	Difference in wages
363	Robots
364	Dictionary
365	Frame
366	Equal numbers
367	RSA Factorization
369	System Engineer
370	Cycles of Lanes
371	Multiprocessor Scheduling
372	Maze Stretching
373	Software Industry Revolution
374	The Lucky Numbers
375	The Robbery
377	The Bad Number
378	Mysterious Note
379	Fault protection
380	Clash of the Titans
381	Terrible number
382	Pear
383	Histogram
384	Mitin crib
385	DVD and slut
386	Simple arithmetic
387	DVD and a napkin
388	Transformation
390	Anagrams
398	Cake for Sergei
